Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Positif Harian (Indonesia),Dirawat Harian (Indonesia),Sembuh Harian (Indonesia),Meninggal Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
29/10/2021 ,4243215,12414,4087440,143361,13560,846799,713,259,861331,972,683,-26,681,28,0,50,43,3,96,46
30/10/2021 ,4243835,12309,4088138,143388,13561,846942,660,264,861427,924,620,-105,698,27,1,143,-53,5,96,-48
31/10/2021 ,4244358,12318,4088635,143405,13562,847021,686,271,861540,957,523,9,497,17,1,79,26,7,113,33
01/11/2021 ,4244761,11919,4089419,143423,13562,847066,722,273,861623,995,403,-399,784,18,0,45,36,2,83,38
02/11/2021 ,4245373,11629,4090287,143457,13562,847201,671,266,861700,937,612,-290,868,34,0,135,-51,-7,77,-58
03/11/2021 ,4246174,11592,4091101,143481,13563,847353,658,258,861832,916,801,-37,814,24,1,152,-13,-8,132,-21
04/11/2021 ,4246802,11364,4091938,143500,13564,847403,718,258,861943,976,628,-228,837,19,1,50,60,0,111,60
05/11/2021 ,4247320,11215,4092586,143519,13565,847438,802,256,862061,1058,518,-149,648,19,1,35,84,-2,118,82
06/11/2021 ,4247721,10979,4093208,143534,13566,847685,648,231,862130,879,401,-236,622,15,1,247,-154,-25,69,-179
07/11/2021 ,4248165,10825,4093795,143545,13566,847808,653,220,862247,873,444,-154,587,11,0,123,5,-11,117,-6
08/11/2021 ,4248409,9774,4095078,143557,13566,847885,627,198,862276,825,244,-1051,1283,12,0,77,-26,-22,29,-48
09/11/2021 ,4248843,9602,4095663,143578,13566,848034,577,193,862370,770,434,-172,585,21,0,149,-50,-5,94,-55
10/11/2021 ,4249323,9537,4096194,143592,13566,848093,608,198,862465,806,480,-65,531,14,0,59,31,5,95,36
11/11/2021 ,4249758,9486,4096664,143608,13567,848137,660,208,862572,868,435,-51,470,16,1,44,52,10,107,62
12/11/2021 ,4250157,9305,4097224,143628,13567,848311,578,187,862643,765,399,-181,560,20,0,174,-82,-21,71,-103
13/11/2021 ,4250516,9197,4097675,143644,13567,848419,534,177,862697,711,359,-108,451,16,0,108,-44,-10,54,-54
14/11/2021 ,4250855,9018,4098178,143659,13568,848527,514,180,862789,694,339,-179,503,15,1,108,-20,3,92,-17
15/11/2021 ,4251076,8522,4098884,143670,13569,848604,477,175,862825,652,221,-496,706,11,1,77,-37,-5,36,-42
16/11/2021 ,4251423,8339,4099399,143685,13569,848710,447,178,862904,625,347,-183,515,15,0,106,-30,3,79,-27
17/11/2021 ,4251945,8390,4099857,143698,13570,848871,397,196,863034,593,522,51,458,13,1,161,-50,18,130,-32
18/11/2021 ,4252345,8315,4100321,143709,13571,849007,344,212,863134,556,400,-75,464,11,1,136,-53,16,100,-37
19/11/2021 ,4252705,8154,4100837,143714,13573,849111,348,199,863231,547,360,-161,516,5,2,104,4,-13,97,-9
20/11/2021 ,4253098,8154,4101216,143728,13574,849265,297,209,863345,506,393,0,379,14,1,154,-51,10,114,-41
21/11/2021 ,4253412,8126,4101547,143739,13574,849386,296,200,863456,496,314,-28,331,11,0,121,-1,-9,111,-10
22/11/2021 ,4253598,7965,4101889,143744,13574,849448,278,182,863482,460,186,-161,342,5,0,62,-18,-18,26,-36
23/11/2021 ,4253992,7916,4102323,143753,13574,849491,303,183,863551,486,394,-49,434,9,0,43,25,1,69,26
24/11/2021 ,4254443,7977,4102700,143766,13575,849596,294,168,863633,462,451,61,377,13,1,105,-9,-15,82,-24
25/11/2021 ,4254815,8040,4102993,143782,13576,849638,274,199,863687,473,372,63,293,16,1,42,-20,31,54,11
26/11/2021 ,4255268,8093,4103379,143796,13576,849693,292,196,863757,488,453,53,386,14,0,55,18,-3,70,15
27/11/2021 ,4255672,8226,4103639,143807,13576,849779,252,204,863811,456,404,133,260,11,0,86,-40,8,54,-32
28/11/2021 ,4255936,8214,4103914,143808,13576,849831,272,183,863862,455,264,-12,275,1,0,52,20,-21,51,-1
29/11/2021 ,4256112,7960,4104333,143819,13576,849902,255,170,863903,425,176,-254,419,11,0,71,-17,-13,41,-30
30/11/2021 ,4256409,7922,4104657,143830,13576,849929,264,178,863947,442,297,-38,324,11,0,27,9,8,44,17
01/12/2021 ,4256687,7883,4104964,143840,13576,849979,282,180,864017,462,278,-39,307,10,0,50,18,2,70,20
02/12/2021 ,4256998,7796,4105352,143850,13576,850046,248,175,864045,423,311,-87,388,10,0,67,-34,-5,28,-39
03/12/2021 ,4257243,7705,4105680,143858,13577,850114,229,167,864087,396,245,-91,328,8,1,68,-19,-8,42,-27
04/12/2021 ,4257489,7632,4105994,143863,13578,850175,209,173,864135,382,246,-73,314,5,1,61,-20,6,48,-14
05/12/2021 ,4257685,7526,4106292,143867,13579,850228,210,161,864178,371,196,-106,298,4,1,53,1,-12,43,-11
06/12/2021 ,4257815,5642,4108297,143876,13581,850281,181,149,864192,330,130,-1884,2005,9,2,53,-29,-12,14,-41
07/12/2021 ,4258076,5466,4108717,143893,13582,850319,171,151,864223,322,261,-176,420,17,1,38,-10,2,31,-8
08/12/2021 ,4258340,5363,4109068,143909,13583,850364,170,147,864264,317,264,-103,351,16,1,45,-1,-4,41,-5
09/12/2021 ,4258560,5278,4109364,143918,13583,850439,153,125,864300,278,220,-85,296,9,0,75,-17,-22,36,-39
10/12/2021 ,4258752,5154,4109675,143923,13583,850475,144,124,864326,268,192,-124,311,5,0,36,-9,-1,26,-10
11/12/2021 ,4258980,5186,4109865,143929,13583,850517,132,126,864358,258,228,32,190,6,0,42,-12,2,32,-10
12/12/2021 ,4259143,5158,4110049,143936,13583,850557,128,122,864390,250,163,-28,184,7,0,40,-4,-4,32,-8
13/12/2021 ,4259249,4974,4110327,143948,13583,850595,111,117,864406,228,106,-184,278,12,0,38,-17,-5,16,-22
14/12/2021 ,4259439,4905,4110574,143960,13583,850621,103,119,864426,222,190,-69,247,12,0,26,-8,2,20,-6
15/12/2021 ,4259644,4864,4110811,143969,13583,850649,104,113,864449,217,205,-41,237,9,0,28,1,-6,23,-5
16/12/2021 ,4259857,4833,4111045,143979,13583,850685,108,113,864489,221,213,-31,234,10,0,36,4,0,40,4
17/12/2021 ,4260148,4912,4111250,143986,13583,850719,118,107,864527,225,291,79,205,7,0,34,10,-6,38,4
18/12/2021 ,4260380,4918,4111464,143998,13583,850751,136,131,864601,267,232,6,214,12,0,32,18,24,74,42
19/12/2021 ,4260544,4923,4111619,144002,13583,850797,140,124,864644,264,164,5,155,4,0,46,4,-7,43,-3
20/12/2021 ,4260677,4829,4111835,144013,13584,850817,150,131,864682,281,133,-94,216,11,1,20,10,7,38,17
21/12/2021 ,4260893,4829,4112040,144024,13584,850837,160,156,864737,316,216,0,205,11,0,20,10,25,55,35
22/12/2021 ,4261072,4746,4112292,144034,13584,850858,176,162,864780,338,179,-83,252,10,0,21,16,6,43,22
23/12/2021 ,4261208,4642,4112524,144042,13584,850910,157,145,864796,302,136,-104,232,8,0,52,-19,-17,16,-36
24/12/2021 ,4261412,4659,4112706,144047,13584,850939,168,174,864865,342,204,17,182,5,0,29,11,29,69,40
25/12/2021 ,4261667,4713,4112901,144053,13584,850984,170,207,864945,377,255,54,195,6,0,45,2,33,80,35
26/12/2021 ,4261759,4655,4113049,144055,13584,851008,176,224,864992,400,92,-58,148,2,0,24,6,17,47,23
27/12/2021 ,4261879,4496,4113320,144063,13584,851096,171,183,865034,354,120,-159,271,8,0,88,-5,-41,42,-46
28/12/2021 ,4262157,4614,4113472,144071,13585,851138,236,171,865130,407,278,118,152,8,1,42,65,-12,96,53
29/12/2021 ,4262351,4528,4113742,144081,13587,851167,238,165,865157,403,194,-86,270,10,2,29,2,-6,27,-4
30/12/2021 ,4262540,4311,4114141,144088,13587,851201,251,171,865210,422,189,-217,399,7,0,34,13,6,53,19
31/12/2021 ,4262720,4292,4114334,144094,13588,851222,295,192,865297,487,180,-19,193,6,1,21,44,21,87,65
01/01/2022 ,4262994,4399,4114499,144096,13588,851280,342,205,865415,547,274,107,165,2,0,58,47,13,118,60
02/01/2022 ,4263168,4382,4114689,144097,13588,851386,428,116,865518,544,174,-17,190,1,0,106,86,-89,103,-3
03/01/2022 ,4263433,4530,4114801,144102,13588,851408,554,140,865690,694,265,148,112,5,0,22,126,24,172,150
04/01/2022 ,4263732,4658,4114969,144105,13588,851449,627,141,865805,768,299,128,168,3,0,41,73,1,115,74
05/01/2022 ,4264136,4878,4115149,144109,13589,851520,787,168,866064,955,404,220,180,4,1,71,160,27,259,187
06/01/2022 ,4264669,5195,4115358,144116,13589,851572,956,214,866331,1170,533,317,209,7,0,52,169,46,267,215
07/01/2022 ,4265187,5494,4115572,144121,13589,851648,1173,221,866631,1394,518,299,214,5,0,76,217,7,300,224
08/01/2022 ,4265666,5792,4115747,144127,13589,851727,1336,257,866909,1593,479,298,175,6,0,79,163,36,278,199
09/01/2022 ,4266195,6108,4115958,144129,13589,851839,1575,299,867302,1874,529,316,211,2,0,112,239,42,393,281
10/01/2022 ,4266649,6311,4116202,144136,13589,851944,1807,322,867662,2129,454,203,244,7,0,105,232,23,360,255
11/01/2022 ,4267451,6659,4116648,144144,13590,852126,2081,402,868199,2483,802,348,446,8,1,182,274,80,537,354
12/01/2022 ,4268097,6985,4116962,144150,13590,852269,2246,506,868611,2752,646,326,314,6,0,143,165,104,412,269
13/01/2022 ,4268890,7388,4117347,144155,13590,852563,2353,583,869089,2936,793,403,385,5,0,294,107,77,478,184
14/01/2022 ,4269740,7877,4117700,144163,13591,852727,2656,669,869643,3325,850,489,353,8,1,164,303,86,554,389
15/01/2022 ,4270794,8463,4118164,144167,13591,853003,3011,758,870363,3769,1054,586,464,4,0,276,355,89,720,444
16/01/2022 ,4271649,8605,4118874,144170,13591,853522,3045,771,870929,3816,855,142,710,3,0,519,34,13,566,47
17/01/2022 ,4272421,8775,4119472,144174,13591,853987,3035,809,871422,3844,772,170,598,4,0,465,-10,38,493,28
18/01/2022 ,4273783,9564,4120036,144183,13591,854204,3316,981,872092,4297,1362,789,564,9,0,217,281,172,670,453
19/01/2022 ,4275528,10796,4120540,144192,13591,854589,3799,1125,873104,4924,1745,1232,504,9,0,385,483,144,1012,627
20/01/2022 ,4277644,12328,4121117,144199,13591,855026,4420,1222,874259,5642,2116,1532,577,7,0,437,621,97,1155,718
21/01/2022 ,4280248,14119,4121928,144201,13591,855676,5031,1445,875743,6476,2604,1791,811,2,0,650,611,223,1484,834
22/01/2022 ,4283453,16692,4122555,144206,13591,856137,6130,1710,877568,7840,3205,2573,627,5,0,461,1099,265,1825,1364
23/01/2022 ,4286378,18891,4123267,144220,13597,856653,7046,2011,879307,9057,2925,2199,712,14,6,516,916,301,1739,1217
24/01/2022 ,4289305,20867,4124211,144227,13597,857215,8246,2242,881300,10488,2927,1976,944,7,0,562,1200,231,1993,1431
25/01/2022 ,4294183,24856,4125080,144247,13606,857688,9475,2721,883490,12196,4878,3989,869,20,9,473,1229,479,2190,1708
26/01/2022 ,4301193,29277,4127662,144254,13612,859305,10850,3232,886999,14082,7010,4421,2582,7,6,1617,1375,511,3509,1886
27/01/2022 ,4309270,35704,4129305,144261,13615,861203,12341,3989,891148,16330,8077,6427,1643,7,3,1898,1491,757,4149,2248
28/01/2022 ,4319175,43574,4131333,144268,13617,862670,14710,4709,895706,19419,9905,7870,2028,7,2,1467,2369,720,4558,3089
29/01/2022 ,4330763,52555,4133923,144285,13627,864447,17852,5545,901471,23397,11588,8981,2590,17,10,1777,3142,836,5765,3978
30/01/2022 ,4343185,61718,4137164,144303,13639,866477,21629,6348,908093,27977,12422,9163,3241,18,12,2030,3777,803,6622,4580
31/01/2022 ,4353370,68596,4140454,144320,13666,867519,25361,6809,913355,32170,10185,6878,3290,17,27,1042,3732,461,5262,4193
01/02/2022 ,4369391,81349,4143694,144348,13678,869184,28863,8018,919743,36881,16021,12753,3240,28,12,1665,3502,1209,6388,4711
02/02/2022 ,4387286,94109,4148804,144373,13689,873212,33384,8590,928875,41974,17895,12760,5110,25,11,4028,4521,572,9132,5093
03/02/2022 ,4414483,115275,4154797,144411,13713,877579,38248,9652,939192,47900,27197,21166,5993,38,24,4367,4864,1062,10317,5926
04/02/2022 ,4446694,140254,4161987,144453,13738,883377,43722,11534,952371,55256,32211,24979,7190,42,25,5798,5474,1882,13179,7356
05/02/2022 ,4480423,163468,4172458,144497,13767,891571,46609,13198,965145,59807,33729,23214,10471,44,29,8194,2887,1664,12774,4551
06/02/2022 ,4516480,188899,4183027,144554,13794,899957,52594,14625,980970,67219,36057,25431,10569,57,27,8386,5985,1427,15825,7412
07/02/2022 ,4542601,206361,4191604,144636,13832,905285,59023,15512,993652,74535,26121,17462,8577,82,38,5328,6429,887,12682,7316
08/02/2022 ,4580093,233062,4202312,144719,13872,910435,62941,17221,1004469,80162,37492,26701,10708,83,40,5150,3918,1709,10817,5627
09/02/2022 ,4626936,265824,4216328,144784,13889,923652,63131,18150,1018822,81281,46843,32762,14016,65,17,13217,190,929,14353,1119
10/02/2022 ,4667554,288186,4234510,144858,13911,929100,67456,19445,1029912,86901,40618,22362,18182,74,22,5448,4325,1295,11090,5620
11/02/2022 ,4708043,312808,4250277,144958,13950,945079,61665,19925,1040619,81590,40489,24622,15767,100,39,15979,-5791,480,10707,-5311
12/02/2022 ,4763252,335340,4282847,145065,13989,960624,59225,19198,1053036,78423,55209,22532,32570,107,39,15545,-2440,-727,12417,-3167
13/02/2022 ,4807778,352839,4309763,145176,14032,975674,54602,18900,1063208,73502,44526,17499,26916,111,43,15050,-4623,-298,10172,-4921
14/02/2022 ,4844279,375857,4323101,145321,14085,975770,62755,20873,1073483,83628,36501,23018,13338,145,53,96,8153,1973,10275,10126
15/02/2022 ,4901328,406025,4349848,145455,14135,984861,63221,20748,1082965,83969,57049,30168,26747,134,50,9091,466,-125,9482,341
16/02/2022 ,4966046,445190,4375234,145622,14191,992213,67232,21717,1095353,88949,64718,39165,25386,167,56,7352,4011,969,12388,4980
17/02/2022 ,5030002,469868,4414306,145828,14255,1008870,60632,20132,1103889,80764,63956,24678,39072,206,64,16657,-6600,-1585,8536,-8185
18/02/2022 ,5089637,496383,4447210,146044,14301,1020564,68649,8564,1112078,77213,59635,26515,32904,216,46,11694,8017,-11568,8189,-3551
19/02/2022 ,5149021,520910,4481909,146202,14326,1031739,67464,8002,1121531,75466,59384,24527,34699,158,25,11175,-1185,-562,9453,-1747
20/02/2022 ,5197505,536358,4514782,146365,14358,1043718,63658,7933,1129667,71591,48484,15448,32873,163,32,11979,-3806,-69,8136,-3875
21/02/2022 ,5231923,530671,4554711,146541,14382,1055584,57957,7102,1135025,65059,34418,-5687,39929,176,24,11866,-5701,-831,5358,-6532
22/02/2022 ,5289414,549431,4593185,146798,14415,1064272,54492,7054,1140233,61546,57491,18760,38474,257,33,8688,-3465,-48,5208,-3513
23/02/2022 ,5350902,571522,4632355,147025,14466,1071054,55116,6892,1147528,62008,61488,22091,39170,227,51,6782,624,-162,7295,462
24/02/2022 ,5408328,586113,4674873,147342,14513,1082827,50250,6793,1154383,57043,57426,14591,42518,317,47,11773,-4866,-99,6855,-4965
25/02/2022 ,5457775,573955,4736234,147586,14555,1091226,46586,6540,1158907,53126,49447,-12158,61361,244,42,8399,-3664,-253,4524,-3917
26/02/2022 ,5504418,578535,4778039,147844,14585,1100117,42956,5924,1163582,48880,46643,4580,41805,258,30,8891,-3630,-616,4675,-4246
27/02/2022 ,5539394,573898,4817423,148073,14609,1109056,38294,5580,1167539,43874,34976,-4637,39384,229,24,8939,-4662,-344,3957,-5006
28/02/2022 ,5564448,554698,4861415,148335,14664,1120433,34301,5441,1174839,39742,25054,-19200,43992,262,55,11377,-3993,-139,7300,-4132
01/03/2022 ,5589176,539210,4901302,148664,14690,1126008,32698,5077,1178473,37775,24728,-15488,39887,329,26,5575,-1603,-364,3634,-1967
02/03/2022 ,5630096,536823,4944237,149036,14710,1129828,33246,4885,1182669,38131,40920,-2387,42935,372,20,3820,548,-192,4196,356
03/03/2022 ,5667355,531696,4986391,149268,14730,1137499,30582,4527,1187338,35109,37259,-5127,42154,232,20,7671,-2664,-358,4669,-3022
04/03/2022 ,5693702,517253,5026853,149596,14754,1143134,28620,4557,1191065,33177,26347,-14443,40462,328,24,5635,-1962,30,3727,-1932
05/03/2022 ,5723858,500418,5073522,149918,14779,1148415,26276,4654,1194124,30930,30156,-16835,46669,322,25,5281,-2344,97,3059,-2247
06/03/2022 ,5748725,475951,5122602,150172,14798,1152865,25515,4615,1197793,30130,24867,-24467,49080,254,19,4450,-761,-39,3669,-800
07/03/2022 ,5770105,448273,5171402,150430,14828,1156926,23985,4747,1200486,28732,21380,-27678,48800,258,30,4061,-1530,132,2693,-1398
08/03/2022 ,5800253,422892,5226530,150831,14852,1161139,23353,4711,1204055,28064,30148,-25381,55128,401,24,4213,-632,-36,3569,-668
09/03/2022 ,5826589,417219,5258235,151135,14863,1164852,23627,4585,1207927,28212,26336,-5673,31705,304,11,3713,274,-126,3872,148
10/03/2022 ,5847900,399852,5296634,151413,14881,1168549,23480,4563,1211473,28043,21311,-17367,38399,278,18,3697,-147,-22,3546,-169
11/03/2022 ,5864010,376461,5335846,151703,14896,1173761,21240,4124,1214021,25364,16110,-23391,39212,290,15,5212,-2240,-439,2548,-2679
12/03/2022 ,5878910,357380,5369579,151951,14921,1178124,19285,3796,1216126,23081,14900,-19081,33733,248,25,4363,-1955,-328,2105,-2283
13/03/2022 ,5890495,342896,5395433,152166,14955,1180576,18707,3762,1218000,22469,11585,-14484,25854,215,34,2452,-578,-34,1874,-612
14/03/2022 ,5900124,312958,5434729,152437,14988,1184667,16373,3279,1219307,19652,9629,-29938,39296,271,33,4091,-2334,-483,1307,-2817
15/03/2022 ,5914532,299443,5462344,152745,15019,1187307,15603,2949,1220878,18552,14408,-13515,27615,308,31,2640,-770,-330,1571,-1100
16/03/2022 ,5927550,279969,5494606,152975,15031,1189556,15095,2902,1222584,17997,13018,-19474,32262,230,12,2249,-508,-47,1706,-555
17/03/2022 ,5939082,262477,5523393,153212,15043,1193225,13384,2515,1224167,15899,11532,-17492,28787,237,12,3669,-1711,-387,1583,-2098
18/03/2022 ,5948610,245979,5549220,153411,15061,1196098,12052,2472,1225683,14524,9528,-16498,25827,199,18,2873,-1332,-43,1516,-1375
19/03/2022 ,5956561,229734,5573228,153599,15073,1198669,11111,2315,1227168,13426,7951,-16245,24008,188,12,2571,-941,-157,1485,-1098
20/03/2022 ,5962483,219688,5589057,153738,15087,1200920,10004,2324,1228335,12328,5922,-10046,15829,139,14,2251,-1107,9,1167,-1098
21/03/2022 ,5967182,203345,5609945,153892,15093,1202740,9084,2280,1229197,11364,4699,-16343,20888,154,6,1820,-920,-44,862,-964
22/03/2022 ,5974646,181555,5639029,154062,15102,1204167,8773,2167,1230209,10940,7464,-21790,29084,170,9,1427,-311,-113,1012,-424
23/03/2022 ,5981022,168563,5658238,154221,15106,1205353,8903,2082,1231444,10985,6376,-12992,19209,159,4,1186,130,-85,1235,45
24/03/2022 ,5986830,155977,5676510,154343,15111,1207258,8098,2044,1232511,10142,5808,-12586,18272,122,5,1905,-805,-38,1067,-843
25/03/2022 ,5991687,146004,5691220,154463,15116,1208909,7445,1931,1233401,9376,4857,-9973,14710,120,5,1651,-653,-113,890,-766
26/03/2022 ,5995876,139143,5702163,154570,15121,1210332,6938,1806,1234197,8744,4189,-6861,10943,107,5,1423,-507,-125,796,-632
27/03/2022 ,5998953,129621,5714662,154670,15126,1211717,6186,1762,1234791,7948,3077,-9522,12499,100,5,1385,-752,-44,594,-796
28/03/2022 ,6001751,122014,5724963,154774,15138,1213009,5653,1564,1235364,7217,2798,-7607,10301,104,12,1292,-533,-198,573,-731
29/03/2022 ,6005646,115709,5735055,154882,15148,1213901,5744,1313,1236106,7057,3895,-6305,10092,108,10,892,91,-251,742,-160
30/03/2022 ,6009486,111555,5742931,155000,15159,1214728,5907,1213,1237007,7120,3840,-4154,7876,118,11,827,163,-100,901,63
31/03/2022 ,6012818,106927,5750802,155089,15167,1216040,5437,1092,1237736,6529,3332,-4628,7871,89,8,1312,-470,-121,729,-591
01/04/2022 ,6015748,100746,5759838,155164,15175,1217108,5119,975,1238377,6094,2930,-6181,9036,75,8,1068,-318,-117,641,-435
02/04/2022 ,6018048,98171,5764636,155241,15183,1218121,4795,911,1239010,5706,2300,-2575,4798,77,8,1013,-324,-64,633,-388
03/04/2022 ,6019981,95990,5768703,155288,15190,1218930,4636,866,1239622,5502,1933,-2181,4067,47,7,809,-159,-45,612,-204
04/04/2022 ,6021642,90235,5776058,155349,15200,1219664,4436,810,1240110,5246,1661,-5755,7355,61,10,734,-200,-56,488,-256
05/04/2022 ,6023924,85204,5783299,155421,15205,1220235,4420,818,1240678,5238,2282,-5031,7241,72,5,571,-16,8,568,-8
06/04/2022 ,6026324,82146,5788714,155464,15207,1220769,4714,741,1241431,5455,2400,-3058,5415,43,2,534,294,-77,753,217
07/04/2022 ,6028413,78302,5794602,155509,15212,1221596,4609,688,1242105,5297,2089,-3844,5888,45,5,827,-105,-53,674,-158
08/04/2022 ,6030168,76568,5798044,155556,15214,1222380,4456,647,1242697,5103,1755,-1734,3442,47,2,784,-153,-41,592,-194
09/04/2022 ,6031636,74130,5801909,155597,15217,1223059,4267,604,1243147,4871,1468,-2438,3865,41,3,679,-189,-43,450,-232
10/04/2022 ,6032707,72679,5804402,155626,15220,1223655,4039,603,1243517,4642,1071,-1451,2493,29,3,596,-228,-1,370,-229
11/04/2022 ,6033903,69849,5808380,155674,15224,1224308,3755,542,1243829,4297,1196,-2830,3978,48,4,653,-284,-61,312,-345
12/04/2022 ,6035358,67975,5811666,155717,15229,1224805,3607,543,1244184,4150,1455,-1874,3286,43,5,497,-148,1,355,-147
13/04/2022 ,6036909,66475,5814688,155746,15232,1225348,3515,488,1244583,4003,1551,-1500,3022,29,3,543,-92,-55,399,-147
14/04/2022 ,6037742,64044,5817904,155794,15234,1226139,3127,455,1244955,3582,833,-2431,3216,48,2,791,-388,-33,372,-421
15/04/2022 ,6038664,62665,5820179,155820,15238,1226739,2837,451,1245265,3288,922,-1379,2275,26,4,600,-290,-4,310,-294
16/04/2022 ,6039266,60475,5822947,155844,15240,1227338,2469,411,1245458,2880,602,-2190,2768,24,2,599,-368,-40,193,-408
17/04/2022 ,6039873,58278,5825729,155866,15244,1227793,2205,411,1245653,2616,607,-2197,2782,22,4,455,-264,0,195,-264
18/04/2022 ,6040432,50969,5833560,155903,15250,1228205,1997,371,1245823,2368,559,-7309,7831,37,6,412,-208,-40,170,-248
19/04/2022 ,6041269,49022,5836310,155937,15252,1228519,1876,355,1246002,2231,837,-1947,2750,34,2,314,-121,-16,179,-137
20/04/2022 ,6042010,45091,5840945,155974,15254,1228783,1866,330,1246233,2196,741,-3931,4635,37,2,264,-10,-25,231,-35
21/04/2022 ,6042595,31219,5855361,156015,15258,1229206,1603,325,1246392,1928,585,-13872,14416,41,4,423,-263,-5,159,-268
22/04/2022 ,6043246,21037,5866169,156040,15261,1229616,1417,313,1246607,1730,651,-10182,10808,25,3,410,-186,-12,215,-198
23/04/2022 ,6043768,19450,5868251,156067,15264,1229971,1256,288,1246779,1544,522,-1587,2082,27,3,355,-161,-25,172,-186
24/04/2022 ,6044150,17631,5870419,156100,15265,1230220,1149,280,1246914,1429,382,-1819,2168,33,1,249,-107,-8,135,-115
25/04/2022 ,6044467,13251,5875083,156133,15266,1230368,1107,274,1247015,1381,317,-4380,4664,33,1,148,-42,-6,101,-48
26/04/2022 ,6045043,9739,5879141,156163,15268,1230600,1077,269,1247214,1346,576,-3512,4058,30,2,232,-30,-5,199,-35
27/04/2022 ,6045660,9142,5880319,156199,15271,1230742,1053,278,1247344,1331,617,-597,1178,36,3,142,-24,9,130,-15
28/04/2022 ,6046072,8365,5881490,156217,15272,1230989,951,245,1247457,1196,412,-777,1171,18,1,247,-102,-33,113,-135
29/04/2022 ,6046467,8165,5882062,156240,15273,1231171,923,216,1247583,1139,395,-200,572,23,1,182,-28,-29,126,-57
30/04/2022 ,6046796,7897,5882660,156257,15274,1231413,829,218,1247734,1047,329,-268,598,17,1,242,-94,2,151,-92
01/05/2022 ,6047040,7474,5883293,156273,15275,1231573,756,211,1247815,967,244,-423,633,16,1,160,-73,-7,81,-80
02/05/2022 ,6047208,7257,5883664,156287,15277,1231709,708,209,1247903,917,168,-217,371,14,2,136,-48,-2,88,-50
03/05/2022 ,6047315,6951,5884059,156305,15278,1231833,623,209,1247943,832,107,-306,395,18,1,124,-85,0,40,-85
04/05/2022 ,6047491,6845,5884325,156321,15280,1231950,587,188,1248005,775,176,-106,266,16,2,117,-36,-21,62,-57
05/05/2022 ,6047741,6631,5884770,156340,15281,1232106,510,194,1248091,704,250,-214,445,19,1,156,-77,6,86,-71
06/05/2022 ,6047986,6530,5885099,156357,15282,1232228,476,194,1248180,670,245,-101,329,17,1,122,-34,0,89,-34
07/05/2022 ,6048204,6427,5885406,156371,15283,1232328,438,193,1248242,631,218,-103,307,14,1,100,-38,-1,62,-39
08/05/2022 ,6048431,6192,5885858,156381,15284,1232444,408,184,1248320,592,227,-235,452,10,1,116,-30,-9,78,-39
09/05/2022 ,6048685,6078,5886211,156396,15285,1232527,419,191,1248422,610,254,-114,353,15,1,83,11,7,102,18
10/05/2022 ,6049141,5855,5886870,156416,15287,1232618,490,177,1248572,667,456,-223,659,20,2,91,71,-14,150,57
11/05/2022 ,6049541,5331,5887786,156424,15288,1232696,549,168,1248701,717,400,-524,916,8,1,78,59,-9,129,50
12/05/2022 ,6049876,4867,5888571,156438,15290,1232729,614,168,1248801,782,335,-464,785,14,2,33,65,0,100,65
13/05/2022 ,6050211,4938,5888825,156448,15291,1232772,664,175,1248902,839,335,71,254,10,1,43,50,7,101,57
14/05/2022 ,6050519,4825,5889241,156453,15292,1232867,676,181,1249016,857,308,-113,416,5,1,95,12,6,114,18
15/05/2022 ,6050776,4784,5889534,156458,15293,1232939,686,191,1249109,877,257,-41,293,5,1,72,10,10,93,20
16/05/2022 ,6050958,4697,5889797,156464,15293,1233010,701,175,1249179,876,182,-87,263,6,0,71,15,-16,70,-1
17/05/2022 ,6051205,3898,5890826,156481,15293,1233102,670,189,1249254,859,247,-799,1029,17,0,92,-31,14,75,-17
18/05/2022 ,6051532,3844,5891190,156498,15294,1233206,670,197,1249367,867,327,-54,364,17,1,104,0,8,113,8
19/05/2022 ,6051850,3766,5891574,156510,15294,1233387,589,187,1249457,776,318,-78,384,12,0,181,-81,-10,90,-91
20/05/2022 ,6052100,3715,5891872,156513,15294,1233494,564,187,1249539,751,250,-51,298,3,0,107,-25,0,82,-25
21/05/2022 ,6052363,3718,5892126,156519,15294,1233575,581,182,1249632,763,263,3,254,6,0,81,17,-5,93,12
22/05/2022 ,6052590,3657,5892411,156522,15296,1233664,594,188,1249742,782,227,-61,285,3,2,89,13,6,110,19
23/05/2022 ,6052764,2890,5893340,156534,15297,1233779,548,176,1249800,724,174,-767,929,12,1,115,-46,-12,58,-58
24/05/2022 ,6053109,2933,5893628,156548,15300,1233873,580,195,1249948,775,345,43,288,14,3,94,32,19,148,51
25/05/2022 ,6053424,3011,5893860,156553,15300,1233937,631,208,1250076,839,315,78,232,5,0,64,51,13,128,64
26/05/2022 ,6053670,3011,5894103,156556,15300,1234021,669,210,1250200,879,246,0,243,3,0,84,38,2,124,40
